"","Country","Hotels","Date","Continent"
"1","Albania",1763,2017-03-29,"Europe"
"2","Albania",1998,2017-06-01,"Europe"
"3","Albania",1767,2017-03-31,"Europe"
"4","Albania",1894,2017-05-11,"Europe"
"5","Albania",1926,2017-05-17,"Europe"
"6","Albania",1876,2017-05-08,"Europe"
"7","Albania",1761,2017-04-04,"Europe"
"8","Albania",1985,2017-05-28,"Europe"
"9","Albania",1802,2017-04-19,"Europe"
"10","Albania",1907,2017-05-15,"Europe"
"11","Albania",1749,2017-03-24,"Europe"
"12","Albania",1762,2017-04-03,"Europe"
"13","Albania",1967,2017-05-25,"Europe"
"14","Albania",1804,2017-04-21,"Europe"
"15","Albania",1796,2017-04-18,"Europe"
"16","Albania",1827,2017-04-26,"Europe"
"17","Albania",1904,2017-05-14,"Europe"
"18","Albania",1741,2017-03-22,"Europe"
"19","Albania",1767,2017-04-01,"Europe"
"20","Albania",1836,2017-05-01,"Europe"
"21","Albania",1991,2017-05-30,"Europe"
"22","Albania",1853,2017-06-09,"Europe"
"23","Albania",1834,2017-04-28,"Europe"
"24","Albania",1998,2017-06-02,"Europe"
"25","Albania",1853,2017-06-08,"Europe"
"26","Albania",1926,2017-05-18,"Europe"
"27","Albania",1784,2017-04-14,"Europe"
"28","Albania",1772,2017-04-10,"Europe"
"29","Albania",1741,2017-03-23,"Europe"
"30","Albania",1853,2017-06-06,"Europe"
"31","Albania",1882,2017-05-10,"Europe"
"32","Albania",1877,2017-05-09,"Europe"
"33","Albania",1757,2017-03-28,"Europe"
"34","Albania",1853,2017-06-05,"Europe"
"35","Albania",1971,2017-05-26,"Europe"
"36","Albania",1922,2017-05-16,"Europe"
"37","Albania",1853,2017-06-07,"Europe"
"38","Albania",1782,2017-04-12,"Europe"
"39","Albania",1739,2017-03-20,"Europe"
"40","Albania",1756,2017-03-27,"Europe"
"41","Albania",1853,2017-06-10,"Europe"
"42","Albania",1767,2017-04-05,"Europe"
"43","Albania",1957,2017-05-22,"Europe"
"44","Albania",1844,2017-05-05,"Europe"
"45","Albania",1806,2017-04-20,"Europe"
"46","Albania",1775,2017-04-11,"Europe"
"47","Albania",1839,2017-05-03,"Europe"
"48","Albania",1749,2017-03-25,"Europe"
"49","Albania",1826,2017-04-27,"Europe"
"50","Albania",1963,2017-05-24,"Europe"
"51","Albania",1841,2017-05-04,"Europe"
"52","Albania",1741,2017-03-21,"Europe"
"53","Albania",1791,2017-04-15,"Europe"
"54","Albania",1796,2017-04-17,"Europe"
"55","Albania",1765,2017-03-30,"Europe"
"56","Albania",1837,2017-05-02,"Europe"
"57","Albania",1769,2017-04-07,"Europe"
"58","Albania",1782,2017-04-13,"Europe"
"59","Albania",1816,2017-04-25,"Europe"
"60","Albania",1817,2017-04-24,"Europe"
"61","Albania",1999,2017-05-31,"Europe"
"62","Albania",1769,2017-04-06,"Europe"
"63","Albania",1933,2017-05-19,"Europe"
"64","Albania",1896,2017-05-12,"Europe"
"65","Albania",1899,2017-05-13,"Europe"
"66","Albania",1957,2017-05-23,"Europe"
"67","Albania & other accommodations",2056,2017-06-16,NA
"68","Albania & other accommodations",2070,2017-06-19,NA
"69","Albania & other accommodations",2078,2017-06-20,NA
"70","Albania & other accommodations",2085,2017-06-21,NA
"71","Albania & other accommodations",2095,2017-06-22,NA
"72","Albania & other accommodations",2118,2017-06-27,NA
"73","Albania & other accommodations",2134,2017-06-29,NA
"74","Albania & other accommodations",2134,2017-06-30,NA
"75","Albania & other accommodations",2184,2017-07-05,NA
"76","Albania & other accommodations",2192,2017-07-06,NA
"77","Albania & other accommodations",2200,2017-07-07,NA
"78","Albania & other accommodations",2251,2017-07-12,NA
"79","Albania & other accommodations",2015,2017-06-12,NA
"80","Albania & other accommodations",2021,2017-06-13,NA
"81","Albania & other accommodations",2021,2017-06-14,NA
"82","Albania & other accommodations",2047,2017-06-15,NA
