"","Country","Hotels","Date"
"1","Puerto Rico & other accommodations","678",2017-07-20
"2","Cuba & other accommodations","187",2017-07-20
"3","Bermuda & other accommodations","36",2017-07-20
"4","Turks & Caicos Islands (Turks, Ccs Is) hotels & other accommodations","114",2017-07-20
"5","Iceland & other accommodations","1689",2017-07-20
"6","Haiti & other accommodations","112",2017-07-20
"7","Jamaica & other accommodations","1012",2017-07-20
"8","Canada & other accommodations","12490",2017-07-20
"9","Barbados & other accommodations","434",2017-07-20
"10","Bahamas & other accommodations","258",2017-07-20
"11","Aruba & other accommodations","368",2017-07-20
"12","United Kingdom (the UK) hotels & other accommodations","49219",2017-07-20
"13","Costa Rica & other accommodations","3627",2017-07-20
"14","Greece & other accommodations","30768",2017-07-20
"15","Singapore & other accommodations","530",2017-07-20
"16","Saint Lucia & other accommodations","195",2017-07-20
"17","Saint Barts (St. Barts) hotels & other accommodations","153",2017-07-20
"18","Cayman Islands & other accommodations","169",2017-07-20
"19","Guam & other accommodations","41",2017-07-20
"20","Ireland & other accommodations","5013",2017-07-20
"21","Monaco & other accommodations","36",2017-07-20
"22","Israel & other accommodations","3507",2017-07-20
"23","Philippines & other accommodations","4698",2017-07-20
"24","Mexico & other accommodations","13555",2017-07-20
"25","Croatia & other accommodations","81614",2017-07-20
"26","Turkey & other accommodations","15453",2017-07-20
"27","U.S. Virgin Islands (US Virgin Is) hotels & other accommodations","227",2017-07-20
"28","Malta & other accommodations","1352",2017-07-20
"29","Spain & other accommodations","78637",2017-07-20
"30","Panama & other accommodations","969",2017-07-20
"31","Solomon Islands (Solomon Is) hotels & other accommodations","22",2017-07-20
"32","Martinique & other accommodations","369",2017-07-20
"33","Fiji & other accommodations","227",2017-07-20
"34","Dominican Republic (Dominican Rep) hotels & other accommodations","1920",2017-07-20
"35","Belize & other accommodations","502",2017-07-20
"36","New Zealand & other accommodations","5803",2017-07-20
"37","Germany & other accommodations","51110",2017-07-20
"38","Tunisia & other accommodations","830",2017-07-20
"39","Maldives & other accommodations","584",2017-07-20
"40","Italy & other accommodations","161085",2017-07-20
"41","Portugal & other accommodations","23719",2017-07-20
"42","Guyana & other accommodations","32",2017-07-20
"43","Trinidad and Tobago (Trinidad Tbgo) hotels & other accommodations","162",2017-07-20
"44","India & other accommodations","30678",2017-07-20
"45","Sweden & other accommodations","7370",2017-07-20
"46","Ghana & other accommodations","934",2017-07-20
"47","Australia & other accommodations","18457",2017-07-20
"48","Cyprus & other accommodations","4294",2017-07-20
"49","Saint Martin & other accommodations","304",2017-07-20
"50","South Korea & other accommodations","5434",2017-07-20
"51","Bahrain & other accommodations","184",2017-07-20
"52","Seychelles & other accommodations","474",2017-07-20
"53","Japan & other accommodations","14847",2017-07-20
"54","Belgium & other accommodations","7710",2017-07-20
"55","Anguilla & other accommodations","65",2017-07-20
"56","Norway & other accommodations","4694",2017-07-20
"57","Guadeloupe & other accommodations","741",2017-07-20
"58","France & other accommodations","83288",2017-07-20
"59","Samoa & other accommodations","69",2017-07-20
"60","Denmark & other accommodations","23989",2017-07-20
"61","Switzerland & other accommodations","11804",2017-07-20
"62","Qatar & other accommodations","132",2017-07-20
"63","Tanzania & other accommodations","1630",2017-07-20
"64","Hungary & other accommodations","12740",2017-07-20
"65","Colombia & other accommodations","9150",2017-07-20
"66","Thailand & other accommodations","20754",2017-07-20
"67","Curaçao & other accommodations","408",2017-07-20
"68","Dominica & other accommodations","123",2017-07-20
"69","Sri Lanka & other accommodations","9292",2017-07-20
"70","Luxembourg & other accommodations","330",2017-07-20
"71","Tonga & other accommodations","59",2017-07-20
"72","South Africa & other accommodations","13169",2017-07-20
"73","St. Maarten & other accommodations","220",2017-07-20
"74","Austria & other accommodations","26253",2017-07-20
"75","Morocco & other accommodations","5609",2017-07-20
"76","Mauritius & other accommodations","1202",2017-07-20
"77","Argentina & other accommodations","12627",2017-07-20
"78","Montenegro & other accommodations","6932",2017-07-20
"79","Vietnam & other accommodations","9400",2017-07-20
"80","Egypt & other accommodations","1720",2017-07-20
"81","Saudi Arabia & other accommodations","2907",2017-07-20
"82","Peru & other accommodations","5079",2017-07-20
"83","Nigeria & other accommodations","1144",2017-07-20
"84","Macau & other accommodations","70",2017-07-20
"85","Liechtenstein & other accommodations","36",2017-07-20
"86","Faroe Islands & other accommodations","39",2017-07-20
"87","Greenland & other accommodations","27",2017-07-20
"88","Ukraine & other accommodations","8413",2017-07-20
"89","Malaysia & other accommodations","7438",2017-07-20
"90","China & other accommodations","52958",2017-07-20
"91","Oman & other accommodations","360",2017-07-20
"92","Slovenia & other accommodations","3825",2017-07-20
"93","Romania & other accommodations","11106",2017-07-20
"94","Nicaragua & other accommodations","919",2017-07-20
"95","Kuwait & other accommodations","136",2017-07-20
"96","Ecuador & other accommodations","2560",2017-07-20
"97","Cook Islands & other accommodations","185",2017-07-20
"98","Rwanda & other accommodations","269",2017-07-20
"99","Finland & other accommodations","5533",2017-07-20
"100","Taiwan & other accommodations","6189",2017-07-20
"101","Armenia & other accommodations","1581",2017-07-20
"102","United Arab Emirates (U.A. Emirates) hotels & other accommodations","1865",2017-07-20
"103","Honduras & other accommodations","532",2017-07-20
"104","Gambia & other accommodations","105",2017-07-20
"105","Ethiopia & other accommodations","525",2017-07-20
"106","El Salvador & other accommodations","263",2017-07-20
"107","Bulgaria & other accommodations","10054",2017-07-20
"108","Albania & other accommodations","2350",2017-07-20
"109","Iraq & other accommodations","98",2017-07-20
"110","Chile & other accommodations","10559",2017-07-20
"111","Cape Verde & other accommodations","475",2017-07-20
"112","Andorra & other accommodations","511",2017-07-20
"113","Vanuatu & other accommodations","157",2017-07-20
"114","Jordan & other accommodations","615",2017-07-20
"115","Indonesia & other accommodations","14474",2017-07-20
"116","Azerbaijan & other accommodations","999",2017-07-20
"117","Senegal & other accommodations","514",2017-07-20
"118","Poland & other accommodations","27982",2017-07-20
"119","Netherlands & other accommodations","11697",2017-07-20
"120","Latvia & other accommodations","2594",2017-07-20
"121","French Polynesia (Fr Polynesia) hotels & other accommodations","287",2017-07-20
"122","Angola & other accommodations","111",2017-07-20
"123","Suriname & other accommodations","112",2017-07-20
"124","New Caledonia & other accommodations","50",2017-07-20
"125","Madagascar & other accommodations","360",2017-07-20
"126","Kenya & other accommodations","2156",2017-07-20
"127","Estonia & other accommodations","3015",2017-07-20
"128","Venezuela & other accommodations","46",2017-07-20
"129","Papua New Guinea (Pap New Guinea) hotels & other accommodations","46",2017-07-20
"130","Lebanon & other accommodations","413",2017-07-20
"131","Cambodia & other accommodations","2499",2017-07-20
"132","Uganda & other accommodations","783",2017-07-20
"133","Russia (Russian Fed.) hotels & other accommodations","47986",2017-07-20
"134","Guatemala & other accommodations","793",2017-07-20
"135","Djibouti & other accommodations","13",2017-07-20
"136","Czech Republic (Czech Rep.) hotels & other accommodations","12149",2017-07-20
