"","Properties_Worldwide","Vacation_Rentals","Destinations","Countries","Review_Count","Date"
"1",584892,236156,73447,211,41350000,2015-01-02
"3",585627,236802,73366,211,41400000,2015-01-03
"4",585539,236765,73366,211,41450000,2015-01-05
"6",584971,236471,73347,211,41550000,2015-01-06
"7",584714,236270,73305,211,41670000,2015-01-08
"8",585202,236452,73373,211,41690000,2015-01-09
"10",586633,237211,73475,212,41820000,2015-01-10
"11",586112,236804,73475,212,41830000,2015-01-12
"12",586204,236867,73475,212,41850000,2015-01-13
"14",587324,237343,73547,212,41920000,2015-01-14
"15",587562,237484,73547,212,42000000,2015-01-15
"16",588064,237766,73591,212,42090000,2015-01-16
"17",588242,237654,73647,212,42120000,2015-01-18
"18",587983,237417,73647,212,42130000,2015-01-19
"19",587985,237431,73647,212,42170000,2015-01-20
"20",590474,239717,73737,212,42180000,2015-01-21
"21",590474,239717,73737,212,42280000,2015-01-22
"22",591628,240599,73722,212,42320000,2015-01-23
"23",592134,240906,73793,212,42360000,2015-01-24
"25",592616,241173,73805,212,42380000,2015-01-26
"26",592702,241367,73856,212,42430000,2015-01-27
"27",592587,241897,73833,212,42450000,2015-01-28
"28",592333,242068,73833,212,42560000,2015-01-29
"29",592172,242072,73810,212,42610000,2015-01-30
"31",592814,242449,73032,212,42760000,2015-02-01
"32",592355,242315,73032,212,42830000,2015-02-03
"33",593606,242955,74064,212,42850000,2015-02-04
"34",594217,243176,74119,212,42910000,2015-02-05
"35",594567,243211,74146,212,42910000,2015-02-06
"36",594567,243211,74146,212,42960000,2015-02-07
"37",595238,243455,74220,212,42960000,2015-02-08
"39",595269,243484,74220,212,43040000,2015-02-10
"41",596336,243882,74328,212,43130000,2015-02-11
"42",599305,246443,74350,212,43110000,2015-02-12
"43",600306,247299,74467,212,43150000,2015-02-14
"44",600727,247403,74689,212,43160000,2015-02-15
"45",600639,247316,74689,212,43180000,2015-02-16
"47",601137,247506,74720,212,43250000,2015-02-17
"48",601976,247798,74765,212,43360000,2015-02-19
"49",601568,247710,74784,212,43400000,2015-02-20
"51",602413,248029,74782,211,43510000,2015-02-21
"52",602406,248010,74782,211,43550000,2015-02-23
"53",602589,248166,74782,211,43650000,2015-02-24
"54",603010,248844,74878,211,43710000,2015-02-25
"56",603521,248957,75033,211,43900000,2015-02-27
"57",604998,249729,75175,211,43970000,2015-02-28
"58",604998,249729,75175,211,43980000,2015-03-01
"59",604488,249523,75175,211,43890000,2015-03-02
"60",604737,249816,75155,211,43940000,2015-03-03
"61",605319,250009,75199,211,43950000,2015-03-04
"62",605319,250009,75199,211,44030000,2015-03-05
"63",606351,250513,75302,211,44030000,2015-03-06
"64",607201,251089,75376,211,44080000,2015-03-07
"65",607453,250945,75352,211,44060000,2015-03-08
"67",607597,251069,75352,211,44070000,2015-03-10
"69",609223,251894,75461,211,44240000,2015-03-12
"70",610078,252303,75461,211,44290000,2015-03-13
"71",610984,252911,75461,211,44350000,2015-03-14
"73",610958,252848,75461,211,44350000,2015-03-16
"75",612083,253436,75461,211,44470000,2015-03-17
"76",614261,255294,75461,211,44600000,2015-03-19
"78",615581,256335,75461,211,44720000,2015-03-21
"79",616005,256354,75461,211,44720000,2015-03-22
"81",616131,256474,75461,211,44780000,2015-03-23
"82",616633,256749,75461,211,44830000,2015-03-24
"83",617080,256931,75461,211,44970000,2015-03-26
"85",617434,257370,75461,211,45090000,2015-03-27
"86",618440,257952,75461,211,45090000,2015-03-28
"87",618333,257805,75461,211,45070000,2015-03-30
"88",619165,258215,75461,211,45130000,2015-03-31
"89",619165,258215,75461,211,45170000,2015-04-01
"90",619473,258602,76258,211,45320000,2015-04-02
"92",619473,258602,76258,211,45360000,2015-04-03
"93",620039,258997,76258,211,45430000,2015-04-04
"95",619898,258798,76277,211,45410000,2015-04-06
"96",620165,259016,76278,211,45500000,2015-04-07
"98",620829,259623,76290,211,45760000,2015-04-09
"100",622064,260443,76468,211,45970000,2015-04-10
"101",623122,260742,76464,211,45980000,2015-04-11
"102",623032,260724,76514,211,45980000,2015-04-12
"103",623580,260989,76544,211,46070000,2015-04-14
"104",623580,260989,76544,211,46130000,2015-04-15
"105",624470,261474,76656,211,46280000,2015-04-16
"106",625531,262147,76684,211,46330000,2015-04-17
"107",626663,262860,76750,211,46390000,2015-04-18
"109",626269,262452,76803,211,46370000,2015-04-19
"110",625850,262060,76810,211,46430000,2015-04-21
"111",627639,263262,76841,211,46480000,2015-04-22
"113",627833,263873,76893,211,46650000,2015-04-24
"114",634638,270127,76889,211,46720000,2015-04-25
"115",634388,269897,77127,211,46720000,2015-04-26
"116",634514,270024,77132,211,46680000,2015-04-27
"118",635752,270779,77171,211,46750000,2015-04-29
"119",637638,272186,77169,211,46890000,2015-04-30
"120",637638,272186,77169,211,46980000,2015-05-01
"121",638860,274003,77302,211,47100000,2015-05-02
"122",638562,273908,77283,211,47100000,2015-05-03
"123",638551,273916,77290,211,47120000,2015-05-04
"124",638551,273916,77290,211,47210000,2015-05-05
"126",640950,275108,77424,211,47390000,2015-05-07
"127",640950,275108,77424,211,47460000,2015-05-08
"128",642876,276184,77527,211,47540000,2015-05-09
"129",642873,276181,77573,211,47570000,2015-05-10
"130",642914,276211,77578,211,47590000,2015-05-11
"131",643950,276780,77584,211,47650000,2015-05-12
"133",647364,279170,77682,212,47780000,2015-05-14
"134",648006,279469,77694,212,47840000,2015-05-15
"135",648741,279724,77735,212,47890000,2015-05-16
"136",648836,279825,77760,212,47920000,2015-05-17
"137",648791,279772,77765,212,47920000,2015-05-18
"139",649712,280290,77762,212,48030000,2015-05-19
"140",650397,280536,77816,212,48030000,2015-05-20
"141",652609,282341,78020,212,48290000,2015-05-22
"142",653649,282800,78095,212,48380000,2015-05-23
"143",653536,282664,78120,212,48400000,2015-05-24
"144",653823,282949,78133,212,48400000,2015-05-25
"146",654315,283447,78181,212,48450000,2015-05-27
"148",657735,286242,78259,212,48690000,2015-05-29
"149",658970,286733,78306,212,48800000,2015-05-30
"150",658970,286733,78306,212,48830000,2015-05-31
"151",658864,286706,78362,212,48930000,2015-06-01
"152",659426,287125,78346,212,48950000,2015-06-02
"153",661702,288541,78409,212,49090000,2015-06-04
"155",663107,289400,78548,212,49270000,2015-06-05
"156",664282,289955,78576,212,49300000,2015-06-06
"157",664008,289660,78609,212,49300000,2015-06-07
"158",664026,289693,78613,212,49390000,2015-06-08
"159",665721,290917,78623,212,49410000,2015-06-09
"160",669542,292512,78869,212,49570000,2015-06-11
