"","Properties_Worldwide","Vacation_Rentals","Destinations","Countries","Review_Count","Date"
"1","706410","312684","80900","219","52490000","2015-AUG-01"
"2","705640","312168","80940","219","52460000","2015-AUG-03"
"3","705640","312168","80940","219","52600000","2015-AUG-04"
"4","707576","313157","81054","220","52590000","2015-AUG-05"
"5","710846","315912","81138","220","52760000","2015-AUG-06"
"6","710846","315912","81138","220","52760000","2015-AUG-06"
"7","712164","316618","81198","220","53020000","2015-AUG-07"
"8","713143","317103","81242","220","53090000","2015-AUG-09"
"9","713143","317103","81242","220","53150000","2015-AUG-10"
"10","713462","316972","81289","220","53300000","2015-AUG-11"
"11","714994","317268","81334","220","53390000","2015-AUG-12"
"12","714994","317268","81334","220","53610000","2015-AUG-13"
"13","716044","317599","82684","221","53580000","2015-AUG-13"
"14","716718","317583","82825","220","53720000","2015-AUG-15"
"15","716448","317371","82845","220","53790000","2015-AUG-16"
"16","716448","317371","82845","220","53810000","2015-AUG-17"
"17","717000","317568","82843","221","53980000","2015-AUG-18"
"18","717000","317568","82843","221","54020000","2015-AUG-18"
"19","717996","318240","82994","221","54250000","2015-AUG-20"
"20","717996","318240","82994","221","54330000","2015-AUG-20"
"21","718923","318605","83065","221","54490000","2015-AUG-21"
"22","719477","318536","83115","221","54560000","2015-AUG-23"
"23","719201","318275","83089","221","54560000","2015-AUG-24"
"24","719201","318275","83089","221","54730000","2015-AUG-24"
"25","719429","318441","83093","221","54790000","2015-AUG-26"
"26","720613","319107","83244","221","54990000","2015-AUG-27"
"27","781129","359823","83312","221","55060000","2015-AUG-28"
"28","781129","359823","83329","221","55200000","2015-AUG-29"
"29","781129","359823","83322","221","55260000","2015-AUG-30"
"30","781129","359823","83304","221","55250000","2015-AUG-31"
"31","784467","361411","83398","221","55400000","2015-SEP-01"
"32","784988","361730","83464","221","55610000","2015-SEP-02"
"33","785933","362027","83518","221","55930000","2015-SEP-03"
"34","786417","362145","83518","221","56070000","2015-SEP-04"
"35","787290","362721","83561","221","56260000","2015-SEP-05"
"36","787290","362721","83561","221","56350000","2015-SEP-05"
"37","787290","362721","83636","221","56370000","2015-SEP-06"
"38","788473","363192","83621","221","56710000","2015-SEP-08"
"39","788473","363192","83621","221","56900000","2015-SEP-08"
"40","790081","363985","83703","221","57220000","2015-SEP-09"
"41","791425","364564","83894","221","57550000","2015-SEP-12"
"42","792580","365316","83947","221","57660000","2015-SEP-13"
"43","792706","365388","83909","221","57790000","2015-SEP-14"
"44","792699","365407","83902","221","57990000","2015-SEP-15"
"45","792699","365407","83903","221","58190000","2015-SEP-16"
"46","794382","366118","83922","221","58480000","2015-SEP-17"
"47","795022","366302","83911","221","58620000","2015-SEP-18"
"48","795022","366302","83911","221","58800000","2015-SEP-18"
"49","795803","366780","83877","221","58800000","2015-SEP-19"
"50","795803","366780","83917","221","59020000","2015-SEP-20"
"51","798337","368059","83886","221","59220000","2015-SEP-21"
"52","801179","370582","83877","221","59390000","2015-SEP-23"
"53","801179","370582","83877","221","59670000","2015-SEP-23"
"54","802167","371165","83896","221","59790000","2015-SEP-24"
"55","802918","371507","82670","221","59970000","2015-SEP-26"
"56","803565","371720","82668","221","60060000","2015-SEP-27"
"57","804221","371945","82655","221","60180000","2015-SEP-28"
"58","804393","372054","82655","221","60390000","2015-SEP-28"
"59","804427","372082","82843","221","60530000","2015-SEP-30"
