,Properties_Worldwide,Vacation_Rentals,Destinations,Countries,Review_Count,Date
1,921527,437593,90449,224,92310000,2016-JUN-02
2,921527,437593,90449,224,92310000,2016-JUN-02
3,922425,438211,90588,224,92520000,2016-JUN-04
4,923561,438944,90588,224,92520000,2016-JUN-04
5,924379,439330,90600,224,92520000,2016-JUN-05
6,924665,439526,90645,224,92740000,2016-JUN-07
7,925405,439942,90706,224,92740000,2016-JUN-08
8,926521,440508,90776,224,93170000,2016-JUN-09
9,926521,440508,90776,224,93340000,2016-JUN-09
10,927728,441235,90858,224,93440000,2016-JUN-10
11,930793,443595,90802,224,93600000,2016-JUN-11
12,933989,446107,90971,224,93630000,2016-JUN-12
13,934835,446727,91085,224,93820000,2016-JUN-14
14,934835,446727,91085,224,93820000,2016-JUN-14
15,937312,448699,91212,224,94030000,2016-JUN-16
16,938083,448753,91304,223,94250000,2016-JUN-16
17,940759,450671,91578,223,94250000,2016-JUN-18
18,942652,451883,91680,223,94540000,2016-JUN-18
19,944898,453305,91744,224,94710000,2016-JUN-20
20,944898,453305,91744,224,94730000,2016-JUN-20
21,945425,453697,91800,224,94730000,2016-JUN-21
22,948952,456200,91927,224,95120000,2016-JUN-23
23,948952,456200,91927,224,95120000,2016-JUN-23
24,950752,457330,92081,224,95520000,2016-JUN-24
25,953055,458980,92124,224,95520000,2016-JUN-25
26,954376,459785,92156,224,95770000,2016-JUN-26
27,955351,460503,92241,224,96090000,2016-JUN-28
28,960015,463472,92419,224,96140000,2016-JUN-29
29,962013,464848,92419,224,96340000,2016-JUN-30
30,962013,464848,92419,224,96630000,2016-JUN-30
31,964529,467155,92590,224,96630000,2016-JUL-01
32,966975,469926,92653,224,97000000,2016-JUL-02
33,967418,470311,92682,224,97000000,2016-JUL-03
34,967955,470704,92622,224,96960000,2016-JUL-04
35,968291,470958,92638,224,96960000,2016-JUL-05
36,970241,472313,92941,224,97210000,2016-JUL-07
37,970241,472313,92941,224,97210000,2016-JUL-07
38,971643,473017,92977,224,97480000,2016-JUL-08
39,973049,473979,93071,224,97480000,2016-JUL-09
40,974097,474632,93038,224,97510000,2016-JUL-10
41,974537,474946,93071,224,97510000,2016-JUL-11
42,975749,475727,93073,224,97690000,2016-JUL-13
43,975749,475727,93073,224,97690000,2016-JUL-13
44,975749,475727,93194,224,98080000,2016-JUL-14
45,980024,479040,93442,224,98080000,2016-JUL-15
