"","Country","Hotels","Date"
"1","Puerto Rico","538","2017-FEB-26"
"2","Bermuda","33","2017-FEB-26"
"3","Turks & Caicos Islands (Turks, Ccs Is) hotels","96","2017-FEB-26"
"4","Haiti","87","2017-FEB-26"
"5","Iceland","1509","2017-FEB-26"
"6","Guam","36","2017-FEB-26"
"7","Barbados","388","2017-FEB-26"
"8","Aruba","345","2017-FEB-26"
"9","Jamaica","840","2017-FEB-26"
"10","Singapore","472","2017-FEB-26"
"11","Saint Barts (St. Barts) hotels","139","2017-FEB-26"
"12","Bahamas","218","2017-FEB-26"
"13","Maldives","574","2017-FEB-26"
"14","Costa Rica","3235","2017-FEB-26"
"15","Guadeloupe","598","2017-FEB-26"
"16","Cayman Islands","90","2017-FEB-26"
"17","Dominican Republic (Dominican Rep) hotels","1544","2017-FEB-26"
"18","United Kingdom (the UK) hotels","43452","2017-FEB-26"
"19","Japan","11392","2017-FEB-26"
"20","Panama","921","2017-FEB-26"
"21","Mexico","11607","2017-FEB-26"
"22","U.S. Virgin Islands (US Virgin Is) hotels","193","2017-FEB-26"
"23","Belize","450","2017-FEB-26"
"24","Italy","133175","2017-FEB-26"
"25","Canada","11235","2017-FEB-26"
"26","Ireland","4394","2017-FEB-26"
"27","Israel","3015","2017-FEB-26"
"28","Martinique","270","2017-FEB-26"
"29","Saint Martin","289","2017-FEB-26"
"30","Saint Lucia","160","2017-FEB-26"
"31","Ghana","700","2017-FEB-26"
"32","Guyana","25","2017-FEB-26"
"33","Germany","45011","2017-FEB-26"
"34","India","25057","2017-FEB-26"
"35","New Zealand","5000","2017-FEB-26"
"36","Monaco","29","2017-FEB-26"
"37","Peru","4575","2017-FEB-26"
"38","Denmark","23254","2017-FEB-26"
"39","Trinidad and Tobago (Trinidad Tbgo) hotels","135","2017-FEB-26"
"40","South Korea","4536","2017-FEB-26"
"41","Nigeria","803","2017-FEB-26"
"42","Malta","1075","2017-FEB-26"
"43","Greenland","23","2017-FEB-26"
