"","resultstemp","V2","V3","DATE_RETRIEVED"
"1","276","Las_Vegas_Tuesday_20170718","1",2017-07-18 07:06:59
"2","292","Las_Vegas_Tuesday_20170725","2",2017-07-18 07:06:59
"3","296","Las_Vegas_Tuesday_20170801","3",2017-07-18 07:06:59
"4","294","Las_Vegas_Tuesday_20170808","4",2017-07-18 07:06:59
"5","235","New_York_City_Tuesday_20170718","1",2017-07-18 07:06:59
"6","631","New_York_City_Tuesday_20170725","2",2017-07-18 07:06:59
"7","651","New_York_City_Tuesday_20170801","3",2017-07-18 07:06:59
"8","665","New_York_City_Tuesday_20170808","4",2017-07-18 07:06:59
"9","152","Washington_DC_Tuesday_20170718","1",2017-07-18 07:06:59
"10","410","Washington_DC_Tuesday_20170725","2",2017-07-18 07:06:59
"11","505","Washington_DC_Tuesday_20170801","3",2017-07-18 07:06:59
"12","497","Washington_DC_Tuesday_20170808","4",2017-07-18 07:06:59
"13","963","London_Tuesday_20170718","1",2017-07-18 07:06:59
"14","1447","London_Tuesday_20170725","2",2017-07-18 07:06:59
"15","1552","London_Tuesday_20170801","3",2017-07-18 07:06:59
"16","1478","London_Tuesday_20170808","4",2017-07-18 07:06:59
"17","1300","Paris_Tuesday_20170718","1",2017-07-18 07:06:59
"18","1840","Paris_Tuesday_20170725","2",2017-07-18 07:06:59
"19","2141","Paris_Tuesday_20170801","3",2017-07-18 07:06:59
"20","2094","Paris_Tuesday_20170808","4",2017-07-18 07:06:59
"21","438","Berlin_Tuesday_20170718","1",2017-07-18 07:06:59
"22","619","Berlin_Tuesday_20170725","2",2017-07-18 07:06:59
"23","738","Berlin_Tuesday_20170801","3",2017-07-18 07:06:59
"24","724","Berlin_Tuesday_20170808","4",2017-07-18 07:06:59
"25","225","Sydney_Tuesday_20170718","1",2017-07-18 07:06:59
"26","429","Sydney_Tuesday_20170725","2",2017-07-18 07:06:59
"27","462","Sydney_Tuesday_20170801","3",2017-07-18 07:06:59
"28","477","Sydney_Tuesday_20170808","4",2017-07-18 07:06:59
"29","237","Las_Vegas_Saturday_20170722","1",2017-07-18 07:06:59
"30","80","Las_Vegas_Saturday_20170729","2",2017-07-18 07:06:59
"31","259","Las_Vegas_Saturday_20170805","3",2017-07-18 07:06:59
"32","271","Las_Vegas_Saturday_20170812","4",2017-07-18 07:06:59
"33","590","New_York_City_Saturday_20170722","1",2017-07-18 07:06:59
"34","524","New_York_City_Saturday_20170729","2",2017-07-18 07:06:59
"35","632","New_York_City_Saturday_20170805","3",2017-07-18 07:06:59
"36","627","New_York_City_Saturday_20170812","4",2017-07-18 07:06:59
"37","481","Washington_DC_Saturday_20170722","1",2017-07-18 07:06:59
"38","510","Washington_DC_Saturday_20170729","2",2017-07-18 07:06:59
"39","488","Washington_DC_Saturday_20170805","3",2017-07-18 07:06:59
"40","472","Washington_DC_Saturday_20170812","4",2017-07-18 07:06:59
"41","1232","London_Saturday_20170722","1",2017-07-18 07:06:59
"42","1025","London_Saturday_20170729","2",2017-07-18 07:06:59
"43","1060","London_Saturday_20170805","3",2017-07-18 07:06:59
"44","1174","London_Saturday_20170812","4",2017-07-18 07:06:59
"45","1822","Paris_Saturday_20170722","1",2017-07-18 07:06:59
"46","2104","Paris_Saturday_20170729","2",2017-07-18 07:06:59
"47","2019","Paris_Saturday_20170805","3",2017-07-18 07:06:59
"48","2055","Paris_Saturday_20170812","4",2017-07-18 07:06:59
"49","469","Berlin_Saturday_20170722","1",2017-07-18 07:06:59
"50","534","Berlin_Saturday_20170729","2",2017-07-18 07:06:59
"51","518","Berlin_Saturday_20170805","3",2017-07-18 07:06:59
"52","536","Berlin_Saturday_20170812","4",2017-07-18 07:06:59
"53","357","Sydney_Saturday_20170722","1",2017-07-18 07:06:59
"54","403","Sydney_Saturday_20170729","2",2017-07-18 07:06:59
"55","357","Sydney_Saturday_20170805","3",2017-07-18 07:06:59
"56","327","Sydney_Saturday_20170812","4",2017-07-18 07:06:59
