"","hotel_name","score","presaleprice","price","test.V2"
"1","Excalibur Hotel And CasinoThe Strip"," 7.12931","305","162","Las_Vegas_Saturday_20170401"
"2","The Venetian Resort Hotel CasinoThe Strip"," 8.91926","529","299","Las_Vegas_Saturday_20170401"
"3","The Palazzo Resort Hotel CasinoThe Strip","3. The Palazzo Resort Hotel CasinoThe Strip - Northeast MapFree Internet666 People Viewing!1 Room Left! Book Now! Savings CalculationClosewas 0from$399Choose","NA","399","Las_Vegas_Saturday_20170401"
"4","Bellagio Hotel And CasinoThe Strip"," 8.5477","626","228","Las_Vegas_Saturday_20170401"
"5","Treasure Island Hotel & CasinoThe Strip"," 7.82476","319","167","Las_Vegas_Saturday_20170401"
"6","Aria Resort And CasinoThe Strip"," 8.61018","429","220","Las_Vegas_Saturday_20170401"
"7","Mandalay Bay Resort And CasinoThe Strip"," 8.21028","505","225","Las_Vegas_Saturday_20170401"
"8","Flamingo Las VegasThe Strip"," 6.32110","389","170","Las_Vegas_Saturday_20170401"
"9","Paris Las VegasThe Strip"," 7.71088","328","204","Las_Vegas_Saturday_20170401"
"10","Trump International Hotel, Las VegasThe Strip"," 8.93368","419","164","Las_Vegas_Saturday_20170401"
"11","The Linq Hotel And CasinoThe Strip"," 7.1564","439","227","Las_Vegas_Saturday_20170401"
"12","Mgm Grand Hotel CasinoThe Strip"," 7.61388","329","169","Las_Vegas_Saturday_20170401"
"13","Luxor Hotel And CasinoThe Strip"," 7.03205","365","179","Las_Vegas_Saturday_20170401"
"14","Rio Suite Hotel CasinoWest of The Strip MapFree Parking People Viewing!Room Left! Book Now!CLICK HERE to sign in and unlock a lower price! Good:  reviews Savings CalculationCloseThis savings % compares your price to the highest booking price of this hotel in the last  dayswas $from$Choose"," 7.11675","290","140","Las_Vegas_Saturday_20170401"
"15","The MirageThe Strip"," 8.1906","424","177","Las_Vegas_Saturday_20170401"
"16","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free Parking People Viewing!On Sale Now"," 7.11083","299","159","Las_Vegas_Saturday_20170401"
"17","Wynn Las VegasThe Strip"," 9.0749","409","242","Las_Vegas_Saturday_20170401"
"18","Monte Carlo Resort And CasinoThe Strip"," 7.01855","298","179","Las_Vegas_Saturday_20170401"
"19","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree Parking People Viewing!Very Good:  reviews Savings CalculationClosewas from$Choose"," 8.01847","NA","169","Las_Vegas_Saturday_20170401"
"20","Planet Hollywood Resort And CasinoThe Strip"," 7.41313","299","189","Las_Vegas_Saturday_20170401"
"21","The Cosmopolitan of Las Vegas, Autograph CollectionThe Strip"," 8.6756","NA","849","Las_Vegas_Saturday_20170401"
"22","Stratosphere TowerThe Strip"," 6.52823","241","168","Las_Vegas_Saturday_20170401"
"23","Downtown Grand, an Ascend HotelDowntown Las Vegas"," 8.2928","NA","155","Las_Vegas_Saturday_20170401"
"24","Vdara Hotel & Spa at CityCenter Las VegasThe Strip"," 8.61344","611","219","Las_Vegas_Saturday_20170401"
"25","The Signature At Mgm GrandThe Strip"," 8.6571","309","169","Las_Vegas_Saturday_20170401"
"26","Tuscany Suites & CasinoEast of The Strip MapFree Internet, Free Parking People Viewing!On Sale Now"," 8.5702","249","149","Las_Vegas_Saturday_20170401"
"27","Westgate Las Vegas Resort & CasinoLas Vegas Convention Center MapFree Parking People Viewing!Pleasant:  reviews Savings CalculationClosewas from$Choose"," 6.62212","NA","149","Las_Vegas_Saturday_20170401"
"28","Circus Circus Hotel, Casino & Theme ParkThe Strip"," 6.32704","285","116","Las_Vegas_Saturday_20170401"
"29","Four Queens Hotel And CasinoDowntown Las Vegas"," 7.0632","225","169","Las_Vegas_Saturday_20170401"
"30","Eastside CanneryBoulder Strip MapFree Internet, Free ParkingFree Cancellation Available+ moreCloseSpecial OffersAvailable on certain rates: People Viewing!Rooms Left! Book Now!On Sale Now"," 8.1643","159","89","Las_Vegas_Saturday_20170401"
"31","La Quinta Inn & Suites Las Vegas Airport North Convention CenterEast of The Strip MapFree Parking, Free Breakfast, Free InternetFree Cancellation, Pay Later Available People Viewing!Room Left! Book Now!CLICK HERE to sign in and unlock a lower price! Pleasant:  reviews Savings CalculationCloseThis savings % compares your price to the highest booking price of this hotel in the last  dayswas $from$Choose"," 6.6287","219","119","Las_Vegas_Saturday_20170401"
"32","Delano Las Vegas At Mandalay BayThe Strip"," 8.4276","379","254","Las_Vegas_Saturday_20170401"
"33","Alexis Park All Suite ResortEast of The Strip MapFree Internet, Free Parking People Viewing!On Sale Now"," 6.8548","189","129","Las_Vegas_Saturday_20170401"
"34","Best Western Mccarran InnMcCarran International Airport (LAS) MapFree Parking, Free Breakfast, Free InternetFree Cancellation Available People Viewing! Rooms Left! Book Now!Good:  reviews Savings CalculationClosewas from$Choose"," 7.782","NA","169","Las_Vegas_Saturday_20170401"
"35","La Quinta Inn & Suites Las Vegas Airport SouthMcCarran International Airport (LAS) MapFree Parking, Free Breakfast, Free InternetFree Cancellation, Pay Later Available People Viewing! Room Left! Book Now!Excellent:  reviews Savings CalculationClosewas from$Choose"," 8.8906","NA","149","Las_Vegas_Saturday_20170401"
"36","The Orleans Hotel And CasinoLas Vegas South Map People Viewing! Rooms Left! Book Now!Very Good:  reviews Savings CalculationClosewas from$Choose"," 8.0643","NA","210","Las_Vegas_Saturday_20170401"
"37","Hilton Grand Vacations on the Las Vegas StripThe Strip"," 8.8158","400","139","Las_Vegas_Saturday_20170401"
"38","Plaza Hotel & CasinoDowntown Las Vegas"," 6.4253","NA","145","Las_Vegas_Saturday_20170401"
"39","Best Western Plus Casino RoyaleThe Strip"," 7.881","NA","199","Las_Vegas_Saturday_20170401"
"40","Renaissance Las Vegas HotelLas Vegas Convention Center MapFree InternetPay Later Available+ moreCloseSpecial OffersAvailable on certain rates: People Viewing!Room Left! Book Now!CLICK HERE to sign in and unlock a lower price! Very Good:  reviews Savings CalculationCloseThis savings % compares your price to the highest booking price of this hotel in the last  dayswas $from$Choose"," 8.3852","359","149","Las_Vegas_Saturday_20170401"
"41","Monte Carlo Resort And CasinoThe Strip"," 7.01855","298","179","Las_Vegas_Saturday_20170408"
"42","The Venetian Resort Hotel CasinoThe Strip"," 8.91926","529","299","Las_Vegas_Saturday_20170408"
