"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1","The Venetian Resort Hotel CasinoThe Strip","8.92008","NA","199","Las_Vegas_Saturday_20170722","1"
"2","Paris Las VegasThe Strip","7.71178","411","138","Las_Vegas_Saturday_20170722","1"
"3","The Linq Hotel And CasinoThe Strip","7.1672","419","154","Las_Vegas_Saturday_20170722","1"
"4","Mandalay Bay Resort And CasinoThe Strip","8.21106","429","179","Las_Vegas_Saturday_20170722","1"
"5","Aria Resort And CasinoThe Strip","8.61063","538","158","Las_Vegas_Saturday_20170722","1"
"6","Bellagio Hotel And CasinoThe Strip","8.5536","624","198","Las_Vegas_Saturday_20170722","1"
"7","Luxor Hotel And CasinoThe Strip","7.03414","292","144","Las_Vegas_Saturday_20170722","1"
"8","Planet Hollywood Resort And CasinoThe Strip","7.41385","397","139","Las_Vegas_Saturday_20170722","1"
"9","Ballys Las VegasThe Strip","7.51536","319","178","Las_Vegas_Saturday_20170722","1"
"10","Encore At Wynn Las VegasThe Strip","8.9305","599","399","Las_Vegas_Saturday_20170722","1"
"11","Treasure Island Hotel & CasinoThe Strip","7.82597","624","209","Las_Vegas_Saturday_20170722","1"
"12","The Palazzo Resort Hotel CasinoThe Strip","9.11766","NA","199","Las_Vegas_Saturday_20170722","1"
"13","The Cosmopolitan of Las Vegas, Autograph CollectionThe Strip","8.6828","764","304","Las_Vegas_Saturday_20170722","1"
"14","Vdara Hotel & SpaThe Strip","8.61460","NA","148","Las_Vegas_Saturday_20170722","1"
"15","New York New York Hotel And CasinoThe Strip","7.71193","352","145","Las_Vegas_Saturday_20170722","1"
"16","Excalibur Hotel And CasinoThe Strip","7.13130","264","136","Las_Vegas_Saturday_20170722","1"
"17","Monte Carlo Resort And CasinoThe Strip","7.02025","378","139","Las_Vegas_Saturday_20170722","1"
"18","Flamingo Las VegasThe Strip","6.32229","309","159","Las_Vegas_Saturday_20170722","1"
"19","Harrahs Las VegasThe Strip","7.01241","309","149","Las_Vegas_Saturday_20170722","1"
"20","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming PoolFree Cancellation Available Travelers are considering this hotelGood:  verified guest reviewsOn Sale Now","7.11138","379","149","Las_Vegas_Saturday_20170722","1"
"21","Wynn Las VegasThe Strip","9.0781","659","399","Las_Vegas_Saturday_20170722","1"
"22","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree Parking|Hotel AmenitiesFree ParkingAirport ShuttleBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming PoolFree Cancellation Available Travelers are considering this hotelVery Good:  verified guest reviewsOn Sale Now","8.11903","279","189","Las_Vegas_Saturday_20170722","1"
"23","Golden Nugget Hotel & Casino Las VegasDowntown Las Vegas","7.81988","NA","229","Las_Vegas_Saturday_20170722","1"
"24","Trump International Hotel, Las VegasThe Strip","8.54369","303","183","Las_Vegas_Saturday_20170722","1"
"25","The MirageThe Strip","8.1968","459","147","Las_Vegas_Saturday_20170722","1"
"26","Mgm Grand Hotel CasinoThe Strip","7.61502","398","136","Las_Vegas_Saturday_20170722","1"
"27","Plaza Hotel & CasinoDowntown Las Vegas","6.5291","212","149","Las_Vegas_Saturday_20170722","1"
"28","Alexis Park All Suite ResortEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSpaSwimming PoolOutdoor Swimming PoolFree Cancellation Available Travelers are considering this hotelPleasant:  verified guest reviews Savings CalculationCloseOnly  rooms leftwas from$Choose","6.8573","NA","209","Las_Vegas_Saturday_20170722","1"
"29","Four Seasons Hotel Las VegasThe Strip","9.168","NA","189","Las_Vegas_Saturday_20170722","1"
"30","Downtown Grand, an Ascend HotelDowntown Las Vegas","8.21018","444","179","Las_Vegas_Saturday_20170722","1"
"31","Circus Circus Hotel, Casino & Theme ParkThe Strip","6.32882","174","147","Las_Vegas_Saturday_20170722","1"
"32","Oasis At The Gold Spike HotelDowntown Las Vegas","32. Oasis At The Gold Spike HotelDowntown Las Vegas - Fremont Street Area MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSwimming PoolOutdoor Swimming PoolFree Cancellation Available14 Travelers are considering this hotel 5.794","233","107","Las_Vegas_Saturday_20170722","1"
"33","The Orleans Hotel And CasinoLas Vegas South MapHotel AmenitiesHandicapped Rooms/FacilitiesRestaurantFree Cancellation Available Travelers are considering this hotelVery Good:  verified guest reviewsOn Sale Now","8.0667","274","127","Las_Vegas_Saturday_20170722","1"
"34","Red Roof Inn Las VegasEast of The Strip MapFree Parking, Free Breakfast, Free Internet|Hotel AmenitiesFree InternetFree ParkingFree BreakfastBusiness CenterFree Internet In Public AreasHandicapped Rooms/FacilitiesNon SmokingPets AllowedSwimming PoolOutdoor Swimming PoolFree Cancellation Available Travelers are considering this hotelGood:  verified guest reviews Savings CalculationCloseOnly  rooms leftwas from$Choose","7.6293","NA","129","Las_Vegas_Saturday_20170722","1"
"35","Rio Suite Hotel CasinoWest of The Strip MapFree Parking|Hotel AmenitiesFree ParkingBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolFree Cancellation Available Travelers are considering this hotelGood:  verified guest reviewsOn Sale Now","7.11764","470","170","Las_Vegas_Saturday_20170722","1"
"36","Thunderbird Boutique HotelThe Strip","36. Thunderbird Boutique HotelThe Strip - Northeast MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableHandicapped Rooms/FacilitiesNon SmokingSwimming PoolOutdoor Swimming PoolFree Cancellation Available 5.026","239","149","Las_Vegas_Saturday_20170722","1"
"37","Stratosphere TowerThe Strip","6.52972","311","217","Las_Vegas_Saturday_20170722","1"
"38","Red Rock Casino Resort SpaSummerlin MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming PoolFree Cancellation Available Travelers are considering this hotelExcellent:  verified guest reviewsMEMBER DEALSign InSavings CalculationCloseThis savings compares your price to the second highest price offered by this hotel  days before and after your check in date You could pay lesswas $from$Choose","8.5465","483","330","Las_Vegas_Saturday_20170722","1"
"39","Tuscany Suites & CasinoEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSwimming PoolOutdoor Swimming PoolFree Cancellation Available Travelers are considering this hotelExcellent:  verified guest reviewsOn Sale Now","8.5734","309","129","Las_Vegas_Saturday_20170722","1"
"40","El Cortez Hotel and CasinoDowntown Las Vegas","7.0500","NA","109","Las_Vegas_Saturday_20170722","1"
"41","The Venetian Resort Hotel CasinoThe Strip","8.92008","NA","699","Las_Vegas_Saturday_20170729","2"
