"","hotel_name","score","presaleprice","price","test.V2"
"1","Excalibur Hotel And CasinoThe Strip"," 7.12929","123.17","83.57","Las_Vegas_Tuesday_20170328"
"2","Bellagio Hotel And CasinoThe Strip"," 8.5476","626","429.25","Las_Vegas_Tuesday_20170328"
"3","Mandalay Bay Resort And CasinoThe Strip"," 8.21027","505","254.15","Las_Vegas_Tuesday_20170328"
"4","The Linq Hotel And CasinoThe Strip"," 7.1564","439","175","Las_Vegas_Tuesday_20170328"
"5","Flamingo Las VegasThe Strip"," 6.32108","389","139","Las_Vegas_Tuesday_20170328"
"6","Paris Las VegasThe Strip"," 7.71087","198.NA","198.97","Las_Vegas_Tuesday_20170328"
"7","Trump International Hotel, Las VegasThe Strip"," 8.93368","419","228","Las_Vegas_Tuesday_20170328"
"8","Ballys Las VegasThe Strip"," 7.51437","398","138.98","Las_Vegas_Tuesday_20170328"
"9","Golden Nugget Hotel & Casino Las VegasDowntown Las Vegas"," 7.81909","NA","69","Las_Vegas_Tuesday_20170328"
"10","Mgm Grand Hotel CasinoThe Strip"," 7.61388","245.NA","245.65","Las_Vegas_Tuesday_20170328"
"11","Luxor Hotel And CasinoThe Strip"," 7.03205","146.43","99.35","Las_Vegas_Tuesday_20170328"
"12","The MirageThe Strip"," 8.1906","424","281.60","Las_Vegas_Tuesday_20170328"
"13","Rio Suite Hotel CasinoWest of The StripFree Parking People Viewing! Rooms Left! Book Now!Good:  reviews Savings CalculationClosewas from$Choose"," 7.11674","68.NA","68.75","Las_Vegas_Tuesday_20170328"
"14","Monte Carlo Resort And CasinoThe Strip"," 7.01854","927.NA","927.67","Las_Vegas_Tuesday_20170328"
"15","Wynn Las VegasThe Strip"," 9.0748","NA","329","Las_Vegas_Tuesday_20170328"
"16","South Point Hotel Casino SpaMcCarran International Airport (LAS)Free Parking People Viewing!On Sale Now"," 8.01847","199","89","Las_Vegas_Tuesday_20170328"
