"","hotel_name","score","presaleprice","price","test.V2","test.V3"
"1","The Venetian Resort Hotel CasinoThe Strip","8.92008","699","299","Las_Vegas_Tuesday_20170718","1"
"2","Paris Las VegasThe Strip","7.71178","NA","60","Las_Vegas_Tuesday_20170718","1"
"3","The Linq Hotel And CasinoThe Strip","7.1672","NA","54","Las_Vegas_Tuesday_20170718","1"
"4","Caesars Palace Las VegasThe Strip","7.6899","558","179","Las_Vegas_Tuesday_20170718","1"
"5","Luxor Hotel And CasinoThe Strip","7.03414","NA","68","Las_Vegas_Tuesday_20170718","1"
"6","Ballys Las VegasThe Strip","7.51536","NA","54","Las_Vegas_Tuesday_20170718","1"
"7","Planet Hollywood Resort And CasinoThe Strip","7.41385","NA","99","Las_Vegas_Tuesday_20170718","1"
"8","Encore At Wynn Las VegasThe Strip","8.9305","599","319","Las_Vegas_Tuesday_20170718","1"
"9","Treasure Island Hotel & CasinoThe Strip","7.82597","133","97","Las_Vegas_Tuesday_20170718","1"
"10","The Palazzo Resort Hotel CasinoThe Strip","9.11766","749","299","Las_Vegas_Tuesday_20170718","1"
"11","Golden Nugget Hotel & Casino Las VegasDowntown Las Vegas","7.81988","253","109","Las_Vegas_Tuesday_20170718","1"
"12","Excalibur Hotel And CasinoThe Strip","7.13130","NA","45","Las_Vegas_Tuesday_20170718","1"
"13","New York New York Hotel And CasinoThe Strip","7.71193","NA","98","Las_Vegas_Tuesday_20170718","1"
"14","Flamingo Las VegasThe Strip","6.32229","NA","64","Las_Vegas_Tuesday_20170718","1"
"15","Harrahs Las VegasThe Strip","7.01241","NA","70","Las_Vegas_Tuesday_20170718","1"
"16","Monte Carlo Resort And CasinoThe Strip","7.02025","NA","108","Las_Vegas_Tuesday_20170718","1"
"17","Hard Rock Hotel And CasinoEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingBusiness CenterCasinoFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelGood:  verified guest reviews Savings CalculationClosewas from$Choose","7.11138","NA","78","Las_Vegas_Tuesday_20170718","1"
"18","Wynn Las VegasThe Strip","9.0781","659","359","Las_Vegas_Tuesday_20170718","1"
"19","South Point Hotel Casino SpaMcCarran International Airport (LAS) MapFree Parking|Hotel AmenitiesFree ParkingAirport ShuttleBusiness CenterCasinoFitness CenterHandicapped Rooms/FacilitiesNon SmokingRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelVery Good:  verified guest reviews Savings CalculationClosewas from$Choose","8.11903","NA","59","Las_Vegas_Tuesday_20170718","1"
"20","Trump International Hotel, Las VegasThe Strip","8.54369","NA","223","Las_Vegas_Tuesday_20170718","1"
"21","The MirageThe Strip","8.1968","459","139","Las_Vegas_Tuesday_20170718","1"
"22","Plaza Hotel & CasinoDowntown Las Vegas","6.5291","NA","39","Las_Vegas_Tuesday_20170718","1"
"23","Mgm Grand Hotel CasinoThe Strip","7.61502","NA","112","Las_Vegas_Tuesday_20170718","1"
"24","Vdara Hotel & SpaThe Strip","8.61460","NA","158","Las_Vegas_Tuesday_20170718","1"
"25","Thunderbird Boutique HotelThe Strip","25. Thunderbird Boutique HotelThe Strip - Northeast MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableHandicapped Rooms/FacilitiesNon SmokingSwimming PoolOutdoor Swimming Pool 5.026","59","50","Las_Vegas_Tuesday_20170718","1"
"26","Downtown Grand, an Ascend HotelDowntown Las Vegas","8.21018","NA","61","Las_Vegas_Tuesday_20170718","1"
"27","Alexis Park All Suite ResortEast of The Strip MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingAirport ShuttleBusiness CenterFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSpaSwimming PoolOutdoor Swimming Pool Travelers are considering this hotelPleasant:  verified guest reviewsLimited time offer Super Hot Deal SAVE%Savings CalculationClosewas $from$Choose","6.8573","69","48","Las_Vegas_Tuesday_20170718","1"
"28","Circus Circus Hotel, Casino & Theme ParkThe Strip","6.32882","34","28","Las_Vegas_Tuesday_20170718","1"
"29","The D Las Vegas Hotel CasinoDowntown Las Vegas","6.9672","NA","64","Las_Vegas_Tuesday_20170718","1"
"30","Oasis At The Gold Spike HotelDowntown Las Vegas","30. Oasis At The Gold Spike HotelDowntown Las Vegas - Fremont Street Area MapFree Internet, Free Parking|Hotel AmenitiesFree InternetFree ParkingFree Internet AvailableFitness CenterHandicapped Rooms/FacilitiesNon SmokingPets AllowedRestaurantSwimming PoolOutdoor Swimming Pool14 Travelers are considering this hotel 5.794","44","35","Las_Vegas_Tuesday_20170718","1"
"31","The Orleans Hotel And CasinoLas Vegas South MapHotel AmenitiesHandicapped Rooms/FacilitiesRestaurant Travelers are considering this hotelVery Good:  verified guest reviews Savings CalculationCloseOnly  rooms leftwas from$Choose","8.0667","NA","55","Las_Vegas_Tuesday_20170718","1"
